RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30
394943,22,"Orlando, FL",msa,FL,306400.0,307457.5,327000.0,330000.0,318100.0,329832.0,332000.0,337693.5,330000.0,316403.5,320200.0,323800.0,315800.0,327707.0,317490.0,323000.0,301300.0,293800.0,310000.0,308995.0,302600.0,289100.0,319095.0,302000.0,298500.0,303032.5,311995.0,311850.0,308780.0,323000.0,319000.0,334600.0,329750.0,345497.5,332852.5,333565.0,319500.0,343000.0,341990.0,346828.0,355000.0,385000.0,373100.0,376975.0,379400.0,398300.0,385000.0,383065.0,393922.0,388815.0,388795.0,427121.5,408007.5,413520.0,425000.0,414600.0,450495.0,449760.0,433700.0,425995.0,419995.0,429000.0,419990.0,437481.0,442995.0,433058.0,431600.0,426853.0,431990.0,442750.0,431740.0,439800.0,436460.0,421990.0,431740.0,441051.0,429990.0,427207.5,428900.0,438522.5,440000.0
394458,23,"Charlotte, NC",msa,NC,316750.0,300000.0,304260.0,310250.0,312548.0,334000.0,334990.0,330000.0,329000.0,325000.0,343500.0,326000.0,308433.0,316000.0,324500.0,316205.0,336950.0,331950.0,333515.0,329000.0,329000.0,340000.0,319900.0,334995.0,312500.0,329000.0,340000.0,340000.0,332102.0,335000.0,339209.5,345000.0,349000.0,360000.0,354000.0,330000.0,344618.0,360000.0,370991.0,373736.5,365500.0,363640.0,364425.5,380000.0,363947.5,372500.0,418090.0,414500.0,419745.0,420000.0,431670.0,431000.0,435000.0,436686.0,443461.0,456833.0,448900.0,464525.0,446120.0,446500.0,420080.0,399000.0,412050.0,415877.0,423000.0,399420.0,404995.0,400050.0,408000.0,416717.5,399442.5,396180.0,407940.0,409990.0,408000.0,410518.0,411945.0,404490.5,409765.0,398900.0,399720.0
395055,24,"San Antonio, TX",msa,TX,262589.5,269900.0,289945.0,275805.0,286524.5,279900.0,270000.0,274000.0,259741.5,274995.0,270367.0,302900.0,271500.0,277450.0,272250.0,257299.0,259000.0,268500.0,272000.0,271450.0,265000.0,266000.0,269450.0,285000.0,249249.5,251990.0,246082.0,253000.0,250000.0,260537.0,261102.5,262986.0,272900.0,257500.0,258250.0,268287.5,267570.0,262631.5,262000.0,268905.0,266477.5,274000.0,282999.0,288499.0,292999.0,325830.0,321107.5,327000.0,320000.0,308249.5,316900.0,319517.5,326647.5,343000.0,322500.0,327990.0,329950.0,331692.0,332245.0,343824.5,315000.0,304950.0,322000.0,319950.0,311290.0,317990.0,320999.0,321245.0,320950.0,319950.0,295249.5,331975.0,289495.0,297625.0,313500.0,313990.0,320970.0,305000.0,321000.0,303000.0,315000.0
394998,25,"Portland, OR",msa,OR,451300.0,419900.0,427555.0,442055.0,451674.0,464945.0,462900.0,478000.0,450164.0,487492.0,499900.0,470000.0,456892.5,474000.0,469900.0,458500.0,464900.0,442900.0,448323.0,445975.0,459000.0,459097.5,465700.0,475000.0,466000.0,460950.0,449995.0,457400.0,443150.0,449900.0,483015.0,488862.0,500462.5,515400.0,529475.0,515000.0,483749.0,474700.0,483500.0,479900.0,482611.0,485000.0,487563.5,506625.0,515399.5,549950.0,539900.0,541259.0,563800.0,540814.5,572000.0,582461.5,576096.0,589143.5,599450.0,609938.0,600270.0,615000.0,582900.0,559984.0,540095.0,560000.0,589900.0,599450.0,589947.5,599340.0,590000.0,550600.0,541900.0,574900.0,591485.0,579900.0,563257.5,590240.0,574245.0,579990.0,589927.5,574507.5,581746.0,634960.0,587439.5
395045,26,"Sacramento, CA",msa,CA,455250.0,471500.0,477500.0,498500.0,483000.0,485000.0,486000.0,487500.0,498750.0,502500.0,500000.0,504255.0,488500.0,497500.0,490000.0,511000.0,499500.0,522000.0,520000.0,509750.0,536750.0,499250.0,502500.0,515000.0,489000.0,520000.0,521000.0,530250.0,522000.0,540000.0,535000.0,525000.0,555000.0,569750.0,517000.0,513000.0,524500.0,547500.0,547500.0,579000.0,578250.0,567500.0,546500.0,617500.0,565000.0,615250.0,670000.0,628000.0,646500.0,650000.0,657750.0,676000.0,665000.0,684500.0,694000.0,706750.0,692000.0,685000.0,620250.0,629500.0,596000.0,606250.0,618500.0,622200.0,633250.0,699250.0,660000.0,676500.0,630440.0,685250.0,648500.0,716000.0,670500.0,656000.0,687500.0,699989.0,742250.0,708245.0,793000.0,675500.0,700000.0
394982,27,"Pittsburgh, PA",msa,PA,295835.0,318961.0,320000.0,335765.0,334175.0,306935.0,305500.0,316200.0,304950.0,266990.0,303240.0,325000.0,349944.5,318700.0,292495.0,320677.0,319990.0,325700.0,328605.0,346656.5,308490.0,357800.0,349900.0,345000.0,309900.0,354990.0,309995.0,332520.0,407284.0,324300.0,345985.0,338000.0,319598.5,368045.0,369195.0,416500.0,366152.0,371695.0,356925.0,372603.5,486254.0,369990.0,372995.0,485312.5,434990.0,381909.115,429990.0,395725.0,404878.0,386000.0,433685.0,433653.0,446980.0,418300.0,459990.0,434192.5,451285.0,475850.0,379990.0,435000.0,502500.0,429272.0,420995.0,408835.0,445000.0,453145.0,419250.0,422500.0,413475.0,398120.0,449990.0,402000.0,437812.5,427837.5,410990.0,416990.0,431321.0,441280.0,447495.0,455995.0,497939.0
394466,28,"Cincinnati, OH",msa,OH,242773.0,225000.0,275440.0,262085.0,270170.0,254900.0,249619.0,233570.0,249407.5,257936.5,335000.0,301965.0,309049.0,278819.0,285112.0,236700.0,272695.0,284445.0,293125.0,312076.0,322000.0,314990.0,325000.0,314172.5,300000.0,275965.0,283794.0,334500.0,329404.5,295124.0,299900.0,286534.0,290501.5,304898.0,292000.0,303900.0,309136.0,366406.5,323061.0,335957.5,373554.0,345810.0,345136.0,350076.0,364535.0,369950.0,387418.0,392144.0,368714.5,399900.0,386895.0,382494.0,414500.0,380557.0,424900.0,379638.5,376000.0,369693.0,385000.0,394927.0,392874.0,390500.0,374900.0,369900.0,386735.5,395000.0,432000.0,399350.0,372400.0,414900.0,377114.0,433900.0,397260.5,416900.0,394900.0,421930.0,425520.0,462450.0,445686.0,391107.0,415285.0
394355,29,"Austin, TX",msa,TX,299866.0,297490.0,307154.0,308681.0,318000.0,329266.0,329177.5,340000.0,317219.5,319759.0,321674.5,347581.0,317500.0,335000.0,324995.0,347676.0,338736.0,326411.0,322990.0,333065.0,335495.0,348500.0,305990.0,321066.0,328000.0,317588.5,343100.0,343847.5,341495.0,332667.5,369406.5,367195.0,382000.0,390000.0,383735.5,408119.0,353300.0,370000.0,334990.0,389995.5,364970.0,376850.0,420000.0,417510.5,410000.0,443621.0,441460.0,450437.5,461155.5,455439.0,480718.0,477023.5,462089.0,483843.5,479684.0,467727.0,452000.0,464774.5,467060.0,472275.0,436674.0,425000.0,444230.0,455262.5,450000.0,469130.0,450445.5,444990.0,453363.0,424990.0,410812.5,443900.0,425142.5,435116.0,430539.5,419990.0,399990.0,408860.0,409740.0,424999.0,399999.0
394775,30,"Las Vegas, NV",msa,NV,340102.0,351600.0,355907.0,374276.0,367412.5,385072.0,385280.0,399503.0,385000.0,394521.5,381929.0,409292.0,389750.0,410860.5,389450.0,408355.0,411336.0,393771.0,365000.0,362990.5,367750.0,385694.0,378332.5,379587.0,367000.0,366265.0,365700.0,374806.0,369500.0,366022.5,384900.0,396990.0,389750.0,406250.0,394771.0,399382.0,390432.5,418738.0,391405.0,407794.0,446830.5,500000.0,430000.0,454366.0,440872.5,472500.0,457574.5,439753.5,453957.5,447787.0,449850.5,484990.0,497000.0,503378.0,492000.0,489495.0,472709.0,472665.5,465200.0,472995.0,438000.0,448974.0,461485.5,465591.5,466000.0,466950.0,494157.5,462889.0,461495.0,472200.0,478970.0,459950.0,459990.0,477069.5,480067.5,484970.0,491990.0,460000.0,505000.0,459450.0,479950.0
394735,31,"Kansas City, MO",msa,MO,366214.0,324373.0,339226.0,344500.0,348475.0,359937.5,359000.0,371296.0,384950.0,385612.0,370000.0,386250.0,347900.0,363033.0,368249.0,352633.5,360500.0,349982.5,375875.0,358000.0,380000.0,358700.0,374500.0,399925.0,388700.0,364950.0,364450.0,375130.0,360000.0,390000.0,394282.0,394000.0,392975.0,402400.0,400000.0,389975.0,388300.0,404950.0,402473.0,434202.0,454324.5,448393.5,435441.5,442334.5,459950.0,458000.0,464011.0,465000.0,450772.5,490318.0,479867.5,479441.5,504303.0,520000.0,522202.0,519652.0,581544.5,551690.0,542368.0,531045.5,542374.0,514950.0,529950.0,521900.0,514950.0,533403.0,529381.0,510000.0,538650.0,520000.0,535000.0,527246.0,528250.0,502499.5,530000.0,524950.0,527560.0,529900.0,540755.0,507500.0,541200.0
