RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30
394605,548,"Fort Madison, IA",msa,IA,,,,,,,,,,,,,,,,,,,3583644.0,4252083.0,4469438.0,4377647.0,4215157.0,4376780.0,4384300.0,4624855.0,5772444.0,6506393.0,6721597.0,5824096.0,5504962.0,5434849.0,5881333.0,6507257.0,7164884.0,7542445.0,7861768.0,7993065.0,8760169.0,9652694.0,10810582.0,10101023.0,8752959.0,7834963.0,8370591.0,8930002.0,9845884.0,10231851.0,11557185.0,10560431.0,9622514.0,8478534.0,8249713.0,8003919.0,7675990.0,8102798.0,8223243.0,8037836.0,8176858.0,8043304.0,7778549.0,6178302.0,5233835.0,4957473.0,4937882.0,5242481.0,5839589.0,6308268.0,6326971.0,6490830.0,6697586.0,7671893.0,6734046.0,6536319.0
394456,549,"Charleston, IL",msa,IL,6528276.0,6256932.0,6802575.0,6764493.0,7030772.0,6927036.0,6742001.0,6662938.0,6755114.0,6493617.0,6011859.0,6719188.0,7139635.0,8075168.0,7178893.0,7164189.0,6739762.0,6619261.0,6513502.0,5961081.0,6044037.0,5323176.0,5432744.0,6069791.0,7215337.0,9167268.0,9567178.0,9355725.0,10748930.0,9921249.0,10523611.0,8331079.0,9790681.0,11834107.0,14419614.0,15227833.0,15281910.0,14281726.0,15190802.0,13733155.0,13417689.0,12909653.0,13102624.0,14488227.0,14505131.0,14506026.0,15763027.0,16896277.0,17941554.0,16179941.0,14712672.0,13951419.0,12823072.0,11708121.0,11379548.0,12584468.0,13580945.0,13643374.0,14443207.0,13314904.0,12270897.0,9232514.0,10149110.0,10137992.0,9814827.0,9144972.0,9104487.0,9813967.0,9071253.0,8416093.0,7382947.0,8338625.0,8225234.0,9153856.0
394592,550,"Fernley, NV",msa,NV,29363217.0,29624916.0,29890925.0,29868405.0,29001635.0,25235337.0,23006571.0,22305867.0,24810383.0,27338216.0,29442252.0,31106984.0,31307837.0,29317305.0,27786950.0,25956323.0,26179640.0,26980700.0,28156268.0,27786204.0,26411718.0,23345762.0,23024433.0,26731851.0,34572724.0,37538414.0,38501604.0,39149013.0,42180063.0,42933797.0,42060909.0,42039155.0,42463290.0,42016789.0,42554109.0,43492892.0,44458747.0,44632971.0,43097633.0,44226997.0,44432383.0,43455812.0,39332312.0,37671375.0,38784700.0,41084962.0,37695369.0,33050547.0,27112713.0,26615011.0,26249519.0,28123825.0,25671035.0,24223936.0,24516668.0,27724559.0,30358228.0,28717154.0,28783929.0,29542098.0,30062687.0,25929382.0,24226315.0,21192224.0,22335361.0,22697114.0,25562965.0,27193911.0,27330175.0,28843032.0,27044169.0,27928862.0,27777257.0,30172836.0
394444,551,"Carson City, NV",msa,NV,27374755.0,23126227.0,22694462.0,19058997.0,18643205.0,18471919.0,17829873.0,17634825.0,19121757.0,23810397.0,25868801.0,28009926.0,24948509.0,25542549.0,25436063.0,26284599.0,26029500.0,23949064.0,23850096.0,22155973.0,21507302.0,18474010.0,18425203.0,20953875.0,24973436.0,27777866.0,29379502.0,29904353.0,30903246.0,30628249.0,33383758.0,31191032.0,33709730.0,33515741.0,38197770.0,38862233.0,40781539.0,40862766.0,40048819.0,40886962.0,38987402.0,36516591.0,33892710.0,34263356.0,35848585.0,41526045.0,40132186.0,37360143.0,31268022.0,30307498.0,28527639.0,27708232.0,23237476.0,22806354.0,20504569.0,23394685.0,24127133.0,23976644.0,23837890.0,25486316.0,26985060.0,26692925.0,25076593.0,23820149.0,25323932.0,23527924.0,24674239.0,24397975.0,26065444.0,24849409.0,21042104.0,22637713.0,26978320.0,30026244.0
394432,553,"Calhoun, GA",msa,GA,12987430.0,12329718.0,13115318.0,11161742.0,10929753.0,9606702.0,8920214.0,9270575.0,10940106.0,11940960.0,11434823.0,11895204.0,12119287.0,12718842.0,13189093.0,13528952.0,13840086.0,12564363.0,11743996.0,11013173.0,10908092.0,10999319.0,12675009.0,14310659.0,15668293.0,16508288.0,16752221.0,15799662.0,14710934.0,14023919.0,16211982.0,18038333.0,18474699.0,19354538.0,21539964.0,22977617.0,22168330.0,22010695.0,20841698.0,22875981.0,21973932.0,22522643.0,19387845.0,19326610.0,22912902.0,26623087.0,27051211.0,24472496.0,23608466.0,21635582.0,24588099.0,22155351.0,21892859.0,16737786.0,17967087.0,18514140.0,19300786.0,18319486.0,19610960.0,19176333.0,17517814.0,14784917.0,15656781.0,16425597.0,17125175.0,15694169.0,16449777.0,17739494.0,19295231.0,20330751.0,18280932.0,17745912.0,16466073.0,16740216.0
753877,554,"Cullowhee, NC",msa,NC,32967069.0,31389632.0,37199433.0,35237597.0,34268204.0,28349562.0,26911390.0,24845616.0,26467396.0,25606516.0,28239537.0,27545441.0,33279116.0,34518573.0,39541563.0,37057262.0,40933632.0,38850596.0,36583620.0,30156739.0,29564785.0,26775187.0,28142635.0,33795894.0,61982711.0,84643739.0,104637105.0,88477557.0,74428869.0,57036391.0,54342875.0,54837339.0,58655318.0,68764709.0,77854145.0,79309947.0,75907407.0,70014163.0,70343399.0,71931057.0,66812574.0,62366637.0,53869232.0,56807975.0,60299715.0,69300792.0,76046723.0,69903907.0,67826459.0,60451897.0,59416834.0,50049193.0,49234202.0,46726385.0,47205041.0,45608130.0,48848411.0,55163590.0,56457525.0,51484591.0,60124854.0,63723742.0,76894734.0,71771902.0,66846428.0,60817258.0,64732261.0,67997527.0,70791853.0,69286010.0,72009833.0,75357325.0,72262997.0,71109300.0
394737,555,"Kearney, NE",msa,NE,11264313.0,11810111.0,11191494.0,9693608.0,9085674.0,7830391.0,8463622.0,8593762.0,8886265.0,8250673.0,6007626.0,6524212.0,6370698.0,7620150.0,8619981.0,9450266.0,8936471.0,7668392.0,7923736.0,9704599.0,10107658.0,9107394.0,9433172.0,11033752.0,12075431.0,12941273.0,14405158.0,16438727.0,15457947.0,14883269.0,12641202.0,13336201.0,13135225.0,14555721.0,14719627.0,15178767.0,15402153.0,15484782.0,14599881.0,14145701.0,13673128.0,14304379.0,13952064.0,14100204.0,13621311.0,12775952.0,13253695.0,13245987.0,14165555.0,13853326.0,12649711.0,12368516.0,10143645.0,9692767.0,9423677.0,9547877.0,9599409.0,9429821.0,10140941.0,11348663.0,12139303.0,11584978.0,10382744.0,8911664.0,9308137.0,10143970.0,10194781.0,9602610.0,10707388.0,13002201.0,14171739.0,14410546.0,14207652.0,14602926.0
394582,556,"Fairmont, WV",msa,WV,,,,,,,,,,,,,,,,,,,,,,6687295.0,5331377.0,6546121.0,6914154.0,7932184.0,8568624.0,8507960.0,8834666.0,9365548.0,9007637.0,8941541.0,8039653.0,7694527.0,8159567.0,8100158.0,9065100.0,8724358.0,9532664.0,9519963.0,9893206.0,9785087.0,10258969.0,9394820.0,9096578.0,9501406.0,9804779.0,9201347.0,9090791.0,8832997.0,9486287.0,8319639.0,8393088.0,7736693.0,8486047.0,9611755.0,9760735.0,9653323.0,9334675.0,9101588.0,8646233.0,8264599.0,9804449.0,10082455.0,9240608.0,7812021.0,7812921.0,8371725.0,9633064.0,9380796.0,8696194.0,7737813.0,7654725.0,7727241.0
394940,557,"Ontario, OR",msa,OR,14848064.0,13840111.0,13756459.0,10053945.0,9597382.0,9256901.0,9241867.0,9697094.0,11225214.0,12215168.0,12349635.0,12444912.0,13331565.0,12910901.0,12311152.0,10099854.0,11707025.0,11782350.0,12778857.0,13439712.0,12736369.0,11699669.0,10802438.0,12011285.0,14463196.0,14733536.0,16984155.0,16442340.0,17236286.0,15456914.0,15626104.0,15866074.0,17162706.0,19413661.0,22645582.0,27318753.0,28511073.0,27286308.0,25542600.0,27985309.0,27852307.0,26489740.0,22475605.0,21390971.0,22767704.0,25883809.0,24779841.0,22554281.0,19306651.0,22088774.0,22040012.0,20532677.0,15184465.0,13899672.0,13933075.0,13778613.0,15729395.0,16886646.0,17503925.0,16069504.0,14245069.0,14933432.0,15057323.0,15538010.0,12996673.0,12738597.0,11986237.0,12446629.0,11059497.0,11682215.0,12329512.0,12962151.0,11060205.0,11085617.0
394621,558,"Gaffney, SC",msa,SC,5615644.0,5245560.0,5574523.0,5505732.0,6060509.0,5284444.0,5017418.0,5005180.0,4521329.0,5022327.0,5254689.0,6295739.0,5904061.0,6770803.0,6379577.0,6640248.0,6432235.0,6736881.0,6998463.0,6688306.0,6040613.0,5696125.0,6376106.0,6909461.0,7591008.0,7358230.0,7248981.0,6988322.0,6619832.0,6512188.0,6985724.0,7202618.0,7878374.0,7712305.0,7668234.0,8029460.0,8608723.0,9659476.0,10955700.0,12168658.0,12966672.0,12303709.0,11365427.0,11911610.0,12825354.0,13278225.0,11223512.0,10794787.0,9740750.0,10027763.0,8757542.0,9186210.0,9314836.0,9082624.0,7848392.0,9114542.0,9817120.0,10993069.0,10497360.0,10049014.0,10691751.0,9891783.0,10802814.0,10234693.0,10186254.0,9075449.0,8608869.0,7286167.0,8149560.0,9024356.0,10877872.0,9460399.0,8032186.0,7071810.0
395131,560,"Sterling, IL",msa,IL,5768589.0,5450114.0,5333185.0,5487347.0,6308776.0,5875307.0,5569319.0,5310375.0,5849515.0,7196414.0,8321308.0,8969034.0,8724041.0,8230657.0,8190149.0,8131328.0,8016898.0,7669190.0,7017330.0,6957582.0,6632526.0,6215189.0,6340111.0,7468867.0,8199180.0,9278275.0,9323771.0,9552967.0,9076569.0,8886481.0,9053549.0,9087334.0,10664403.0,12060528.0,14254965.0,14906140.0,14616312.0,14483009.0,14870291.0,16823550.0,16714872.0,14699683.0,12213222.0,12549335.0,12621631.0,13263575.0,13108385.0,14081201.0,14353601.0,13201027.0,12235201.0,11501100.0,11760842.0,11201990.0,10144967.0,9959403.0,9643103.0,11504893.0,11471480.0,11323408.0,11312121.0,9644363.0,10368909.0,9559769.0,9662799.0,9806497.0,8912672.0,8898869.0,8241896.0,8417768.0,7971732.0,7280524.0,6255028.0,7201935.0
394411,561,"Branson, MO",msa,MO,37660081.0,34654299.0,35136203.0,34296890.0,34087523.0,31884829.0,30552683.0,30418008.0,34591322.0,37213535.0,40913028.0,39237373.0,38588737.0,38280840.0,39047081.0,38060094.0,36838027.0,32805536.0,32374200.0,33507550.0,33764336.0,32631171.0,32752808.0,41106090.0,50801063.0,57705622.0,60818060.0,59043711.0,56584333.0,49859748.0,51123341.0,55146256.0,60098417.0,61161481.0,63871609.0,62646195.0,61451230.0,56620274.0,58352601.0,62712979.0,66366771.0,67140921.0,63496885.0,65296732.0,68285488.0,71279224.0,68222420.0,65679587.0,61317306.0,61525731.0,59318749.0,59326252.0,53134659.0,46649063.0,40460426.0,40961624.0,39299735.0,37383522.0,29336594.0,27145884.0,25406783.0,26224930.0,23758232.0,23331458.0,22669112.0,26100935.0,27475944.0,27498560.0,26542633.0,25047094.0,23380935.0,22560150.0,21017756.0,22579222.0
394446,562,"Cedar City, UT",msa,UT,19875350.0,18823610.0,18458108.0,15855134.0,14373332.0,11486174.0,11358162.0,11503218.0,12656375.0,14366110.0,16760888.0,18771031.0,19923858.0,19240517.0,17827439.0,16740698.0,16126376.0,16614527.0,15354084.0,16227676.0,15871682.0,15366646.0,17422465.0,21994019.0,28472826.0,31304552.0,35047253.0,33764236.0,31104170.0,25188385.0,22446916.0,22134823.0,25932396.0,29900552.0,36585673.0,36279476.0,36597603.0,32601207.0,30366579.0,28905992.0,30669486.0,28987886.0,29437353.0,31548776.0,38050747.0,37632092.0,32762876.0,27308729.0,26465971.0,23732273.0,22446885.0,19874682.0,17171878.0,17594199.0,15453530.0,17377040.0,16094401.0,18673991.0,18294179.0,19987105.0,21762233.0,22073967.0,21003070.0,21183172.0,22049476.0,22466824.0,22177085.0,19326151.0,17689996.0,17553269.0,19175293.0,22434490.0,20673171.0,23092045.0
